,2F5,VRC01,NIH45-46,3BNC117,PG9,PG16
0260.v5.c36,50,0.529,0.397,0.2,2.18,2.1
0330.v4.c3,14.6,0.064,0.049,0.013,0.018,0.006
0439.v5.c1,4.43,0.052,0.185,0.215,50,50
3415.v1.c1,43.9,0.092,0.082,0.094,0.149,0.036
3718.v3.c11,3.88,0.218,0.871,50,0.05,0.019
398-F1_F6_20,0.28,0.058,0.157,0.071,50,50
BB201.B42,2.92,0.343,0.303,3.35,0.014,0.003
BB539.2B13,0.136,0.094,0.022,0.033,0.106,0.012
BI369.9A,0.249,0.149,0.043,0.02,0.029,0.007
BS208.B1,1.1,0.029,0.006,0.002,0.031,0.004
KER2008.12,6.98,0.563,0.567,0.248,0.017,0.006
KER2018.11,2.01,0.07,0.828,0.417,0.001,0.001
KNH1209.18,2.24,0.087,0.246,0.04,0.367,0.678
MB201.A1,0.436,0.237,0.165,0.464,0.024,0.001
MB539.2B7,2.49,0.544,0.402,0.087,0.058,0.025
MI369.A5,1.44,0.162,0.074,0.033,0.058,0.011
MS208.A1,1.1,0.147,0.09,0.019,0.071,0.047
Q168.a2,7.83,0.14,0.138,0.05,0.106,0.031
Q23.17,10.8,0.086,0.106,0.017,0.007,0.002
Q259.17,16.1,0.051,0.046,0.017,0.045,0.028
Q461.e2,13.4,0.41,0.212,0.069,3.01,4.11
Q769.d22,0.609,0.015,0.013,0.007,0.007,0.01
Q769.h5,50,0.014,0.019,0.006,0.002,0.002
Q842.d12,50,0.006,0.015,0.002,0.005,0.001
QH209.14M.A2,50,0.024,0.011,0.008,50,50
RW020.2,7.55,0.303,0.144,0.02,0.103,0.07
UG037.8,0.202,0.035,0.056,0.02,0.021,0.001
3301.V1.C24,50,0.084,0.055,0.046,0.281,0.023
6540.v4.c1,40,50,50,50,0.035,0.017
6545.V4.C1,26,50,50,50,0.095,0.068
0815.V3.C3,7.37,0.036,0.055,0.018,50,50
6095.V1.C10,0.147,0.464,0.601,0.096,0.242,0.023
3468.V1.C12,3.51,0.04,0.104,0.073,2.09,2.38
620345.c1,0.455,50,50,50,0.393,50
C1080.c3,0.056,1.5,0.539,0.096,0.004,0.001
C2101.c1,0.344,0.097,2.38,0.064,0.026,0.009
C3347.c11,0.051,0.037,0.055,0.029,0.038,0.006
C4118.09,2.49,0.11,0.035,0.019,0.037,0.021
CNE3,6.79,3.56,1.99,0.125,0.079,0.173
CNE5,9.7,0.228,0.329,0.386,0.023,0.023
CNE55,1.49,0.292,0.294,0.147,0.146,1.37
CNE56,0.974,0.442,0.483,0.075,50,50
CNE59,0.029,0.516,0.102,0.043,0.091,0.113
M02138,0.023,0.742,0.27,0.154,0.122,0.022
R1166.c1,2.56,1.77,1.73,0.23,1.55,0.587
R2184.c4,1.73,0.052,0.065,0.035,0.2,0.28
R3265.c6,50,0.731,0.019,0.02,1.3,0.036
TH966.8,0.182,0.331,0.094,0.056,0.042,0.008
TH976.17,0.131,0.066,0.116,0.025,50,50
235-47,50,0.049,0.25,0.022,0.322,0.246
242-14,1.06,50,50,50,0.025,0.023
263-8,50,0.119,0.196,0.047,0.353,1.31
269-12,50,0.163,9.79,0.151,1.52,0.281
271-11,13.2,0.052,0.215,0.007,0.097,0.102
928-28,1.04,0.378,0.164,0.155,0.06,0.023
DJ263.8,50,0.072,0.018,0.025,0.1,0.048
T250-4,2.93,50,50,50,0.001,0.001
T251-18,30.5,3.58,1.36,0.203,50,10.5
T253-11,4.27,0.265,0.268,0.116,0.127,4.44
T255-34,50,0.252,0.779,0.051,0.015,0.005
T257-31,5.46,1.68,0.579,0.181,0.02,0.003
T266-60,8.04,0.353,0.219,0.032,24,50
T278-50,4.27,50,50,50,0.913,1.13
T280-5,4.3,0.017,0.036,0.019,0.379,0.233
T33-7,10,0.023,0.074,0.007,0.023,0.023
3988.25,50,2.1,0.358,50,0.01,0.002
5768.04,0.139,0.099,0.074,0.201,0.073,0.02
6101.1,50,0.104,0.016,0.022,50,50
6535.3,4.9,2.16,0.067,0.262,0.465,50
7165.18,1.35,50,50,6.54,50,50
89.6.DG,1.51,0.46,0.274,0.109,50,50
AC10.29,0.975,1.43,0.364,6.05,0.078,0.023
ADA.DG,0.271,0.424,0.112,0.086,0.342,0.023
Bal.01,4.13,0.102,0.017,0.012,0.052,8
BaL.26,3.16,0.047,0.013,0.006,0.034,0.136
BG1168.01,1.35,0.449,1.32,0.179,50,50
BL01.DG,6.02,50,50,50,50,50
BR07.DG,0.675,1.67,0.362,0.135,50,50
BX08.16,2.79,0.281,0.366,0.102,0.024,0.062
CAAN.A2,11.6,1.06,0.205,0.673,13,7.43
CNE10,1.1,0.776,0.173,0.05,0.243,9.17
CNE12,5.02,0.785,0.516,0.085,50,50
CNE14,5.68,0.389,0.091,0.024,50,50
CNE4,1.77,0.871,0.238,0.113,50,50
CNE57,1.09,0.535,0.182,0.066,50,50
HO86.8,0.049,50,50,50,0.014,0.001
HT593.1,0.172,0.438,0.099,0.229,0.271,0.153
HXB2.DG,0.04,0.04,0.009,0.037,0.553,50
JRCSF.JB,9.45,0.234,0.06,0.028,0.003,0.002
JRFL.JB,7.84,0.033,0.009,0.003,50,50
MN.3,0.023,0.033,0.004,50,50,50
PVO.04,50,0.386,0.148,0.074,6.24,19.8
QH0515.01,0.324,0.52,0.689,0.175,50,50
QH0692.42,2.22,1.16,0.991,0.275,50,50
REJO.67,0.3,0.045,0.011,0.039,0.005,0.005
RHPA.7,23.2,0.047,0.022,0.019,50,1.32
SC422.8,1.34,0.132,0.031,0.049,0.535,1.2
SF162.LS,2.47,0.237,0.025,0.019,50,50
SS1196.01,25.3,0.276,0.047,0.038,0.293,0.069
THRO.18,50,4.42,1.88,2.8,15,0.975
TRJO.58,50,0.079,0.029,0.062,0.246,0.393
TRO.11,50,0.343,1.04,0.033,41.5,4.86
WITO.33,2.29,0.112,0.037,0.03,0.023,0.023
YU2.DG,50,0.055,0.031,0.029,3.69,0.041
CH038.12,50,0.379,0.183,50,0.5,49
CH070.1,50,18.7,50,7.89,0.006,0.002
CH117.4,50,0.059,0.022,0.663,0.008,0.005
CH181.12,50,0.54,0.189,0.124,0.008,0.002
CNE15,50,0.08,0.052,50,0.023,0.023
CNE40,50,0.425,0.32,0.116,1.16,49
CNE7,1.13,0.54,0.147,50,1.66,0.393
286.36,50,0.103,0.953,0.067,0.071,0.005
288.38,50,1.52,0.128,0.063,3.14,0.186
0013095-2.11,50,0.142,0.019,0.208,0.023,0.023
001428-2.42,50,0.023,0.009,0.01,0.023,0.023
0077_V1.C16,50,1.04,0.308,50,0.091,0.023
00836-2.5,50,0.128,0.015,50,49,50
16055-2.3,50,0.105,0.068,3.24,0.014,0.005
16845-2.22,50,2.41,3.19,29.6,2.38,27.8
16936-2.21,50,0.109,0.023,0.059,50,50
25710-2.43,50,0.545,0.202,0.1,0.038,0.023
25711-2.4,44.8,0.712,0.718,50,1.5,0.037
25925-2.22,50,0.559,0.141,0.136,0.023,0.023
26191-2.48,50,0.195,0.115,0.043,0.142,1.95
3168.V4.C10,23.1,0.131,0.178,0.11,0.162,0.037
3637.V5.C3,50,4.09,1.77,50,50,50
3873.V1.C24,50,0.954,0.141,6.97,50,12.2
6322.V4.C1,50,50,50,50,50,50
6471.V1.C16,50,50,50,50,50,50
6631.V3.C10,50,50,50,50,50,50
6644.V2.C33,50,0.164,0.071,0.033,0.033,35.3
6785.V5.C14,50,0.332,0.311,0.195,0.023,0.023
96ZM651.02,50,0.525,0.416,0.443,50,50
BR025.9,50,0.271,0.067,50,0.044,0.009
CAP210.E8,50,50,50,8.16,0.087,0.023
CAP244.D3,50,0.857,0.277,0.073,0.088,0.023
CAP45.G3,50,9.47,50,0.589,0.023,0.023
CNE30,50,0.927,0.624,0.291,50,50
CNE31,50,0.962,0.253,9.95,13.5,2.51
CNE53,50,0.108,0.035,0.051,0.147,50
CNE58,50,0.124,1.04,0.389,0.023,0.023
DU123.06,50,13.6,50,0.183,0.091,0.023
DU151.02,50,7.7,50,50,0.023,0.023
DU156.12,50,0.082,0.029,0.035,0.023,0.023
DU172.17,50,50,50,0.289,0.262,0.03
DU422.01,50,50,50,50,0.303,0.023
MW965.26,50,0.038,0.024,0.005,1.99,0.961
SO18.18,50,0.071,0.028,0.032,0.061,0.023
TV1.29,3.29,50,50,50,0.008,0.002
TZA125.17,50,50,50,50,0.231,0.024
TZBD.02,50,0.072,0.011,45.9,0.266,0.025
ZA012.29,50,0.25,0.098,0.063,27,0.631
ZM106.9,50,0.248,0.058,0.082,0.639,1.1
ZM109.4,50,0.134,0.046,0.041,0.106,4.93
ZM135.10a,50,1.28,0.28,0.067,50,50
ZM176.66,50,0.038,0.096,50,0.007,0.002
ZM197.7,35.7,0.624,0.314,0.398,0.414,0.65
ZM214.15,50,0.881,0.132,0.088,50,50
ZM215.8,50,0.276,0.015,0.01,0.023,50
ZM233.6,50,4.25,5.44,0.202,0.023,0.023
ZM249.1,50,0.082,0.038,0.039,0.033,0.073
ZM53.12,50,0.839,0.205,0.212,0.041,0.023
ZM55.28a,50,0.144,0.085,0.04,0.571,50
3326.V4.C3,19.6,0.073,4.27,48.1,0.023,0.023
3337.V2.C6,4.63,0.063,0.034,0.008,50,50
3817.v2.c59,6.86,50,50,0.216,0.007,0.006
231965.c1,18.6,0.487,0.06,0.035,1.51,4.72
247-23,1.95,24.2,47.8,0.028,0.195,50
3016.v5.c45,0.765,0.111,50,0.648,0.286,50
57128.vrc15,50,50,50,0.432,0.104,0.162
6405.v4.c34,7.51,2.63,0.731,0.171,50,50
A03349M1.vrc4a,50,4.66,50,0.512,50,50
NKU3006.ec1,1.1,0.506,0.615,0.089,50,50
UG021.16,50,0.266,1.48,0.41,50,50
UG024.2,0.029,0.106,50,0.057,3.94,50
X2088.c9,50,50,50,50,50,50
SIVmac251.SG3,50,50,50,50,50,50
SVA.MLV,50,50,50,50,50,50
